claim_id,variant,source_asset,source_page,source_location,claim_summary,source_status,parameters_fixed,parameters_missing,audit_action
AOG-C01,PLANAR_RECIPROCAL,AOG_PDF_2005A,5,Unitary Reciprocal Spiral equation and diagram,The generating planar curve is the unitary reciprocal spiral r*theta = 1.,mathematically explicit,polar relation r=1/theta; unit coefficient,orientation; parameter domain; endpoint convention,implement the analytic planar curve without fitting
AOG-C02,PLANAR_RECIPROCAL,AOG_PDF_2005A,6,point-to-line and circular-to-linear description,The inner end approaches the origin while the outer end approaches the line y=1.,analytically interpretable,inner limit theta->infinity; outer limit theta->0,finite truncation applied before spherical mapping,verify asymptotic behaviour directly
AOG-C03,SPHERE_A,AOG_PDF_2005A,7,flat-to-spherical projection diagram,The curve is drawn on a smooth spherical coordinate surface carrying a cube-octahedral great-circle frame.,diagrammatic inference,smooth spherical host shown; cube-octahedral framework,explicit coordinate map; radius; pole and seam choices,do not substitute a polyhedral cuboctahedron without additional source support
AOG-C04,SPHERE_A,AOG_PDF_2005A,7,great-circle projection description,The planar x-axis and line y=1 map to great circles meeting at the sphere's equator.,geometrically stated,two distinguished planar lines map to great circles,unique mapping away from those lines,enumerate candidate maps satisfying the stated great-circle constraints
AOG-C05,TRUNCATION_PROSE,AOG_PDF_2005A,7,paragraph above spherical projection diagram,"The inner endpoint is set exactly 1.5 turns, or 3*pi radians, from the projected infinite end.",numerically explicit; endpoint reference ambiguous,angular separation 3*pi,whether the outer reference is theta->0 or theta=1,reconstruct the asymptotic-end reading separately
AOG-C06,TRUNCATION_DIAGRAM,AOG_PDF_2005A,5-7,reciprocal-spiral labels in the diagrams,The marked unit point has theta=1 and the inner endpoint is labelled theta=3*pi+1.,diagrammatically explicit; distinct from the asymptotic-end reading,"finite interval theta in [1, 1+3*pi]",whether this is authoritative or illustrative,reconstruct as an independent endpoint convention
AOG-C07,HAND_REGION,AOG_PDF_2005A,7,three-copy construction and shaded Hand region,"Three spherical spiral copies are separated by 120 degrees; the region between adjacent copies, viewed into the vortex, is the Tefillin Hand.",geometrically stated; region extraction under-specified,three copies; 120-degree phase separation,rotation axis; chosen adjacent pair; surface-boundary and thickness conventions,reconstruct all symmetry-equivalent adjacent regions
AOG-C08,SEVEN_REGION_TORUS,AOG_PDF_2005A,7,seven-colour torus inset and truncation rationale,The 3*pi cut is said to match a three-turn vortex edge of an equal seven-region map on a 2-torus.,specific claim; exact mathematical construction absent,seven equal regions; stated three-turn boundary,torus metric; region coordinates; distinguished edge; winding and opening convention,digitize and reconstruct the source diagram before testing
AOG-C09,UNIT_ANGLE,AOG_PDF_2005A,8,Unit Angle section,The cube-octahedral framework supplies 30-degree angular divisions; half a radian is discussed as a nearby natural unit.,discrete framework stated; role in projection unclear,30-degree framework; approximate half-radian comparison,which angular unit controls the actual construction,treat 30 degrees and 0.5 radians as distinct hypotheses
AOG-C10,TORUS_KNOT_RELATION,AOG_PDF_2005A,9,49-letter and 99-tetrahedron discussion and diagram,"A Hand is associated with 49 tetrahedra, described as a one-sixth section of a 99-tetrahedron 3,10 model; the text also relates each half and each Hand to 49.",internally ambiguous,"numbers 49, 50 and 99; six Hand regions shown","whether one-sixth denotes arc length, region count, overlap class or another decomposition",test region correspondence separately from centreline-length arithmetic
