source_id,tier,title,date,url,source_location,recovery_questions,primary_state,equations_present,construction_steps_present,continuous_free_parameters_remain,images_metric,key_evidence,follow_up,inspection_status,turn_count_convention,structural_relation_status
TA01,A,The Light in the Meeting Tent,1986,https://www.meru.org/lightintent/lightin.html,Prefatory historical note; body paragraphs on 7-color torus ribbon and 1 3/4-turn vortex,"RQ1,RQ3,RQ5,RQ6",DESCRIPTIVE_ONLY,no,no deterministic steps,yes,illustrative / historical,Early source calls the full torus ribbon 3 1/2 turns and one half 1 3/4 turns. Meru's later archive note says the same full vortex is now called 3 turns because the counting convention changed; the underlying vortex is unchanged.,Compare later 3-turn / 1 1/2-turn terminology and later FIRST HAND geometry.,inspected,EARLY_3_1_2_FULL_VORTEX_CONVENTION,
TA02,A,Some Notes on the Logarithmic and Golden Mean Spirals (old site),1996/1997,https://www.meru.org/goldenrules/goldmeanOLDsite.html,FIRST HAND comparison; Dimpled-Sphere hole discussion,"RQ1,RQ3,RQ4,RQ5,RQ7",REFERENCE_TO_MISSING_CONSTRUCTION,"spiral-family discussion, but no complete 3-D FIRST HAND construction",claims three algebraic sets and at least one geometric construction; does not give them,yes,explicitly non-neutral for hole calibration,This is the only currently recovered registered Meru text that explicitly states that three sets of specially arranged algebraic functions and at least one geometric construction produce apparently identical self-embedding FIRST HAND vortices. It does not name or state the three function sets. The current and old-site Golden Mean pages repeat the same claim. The page separately allows manual bending until outer end and inner tip are parallel.,Continue bounded search for explicit equations or names of the three algebraic sets. Do not infer that the reciprocal law alone is one of the three finished-shape function sets.,inspected,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,
TA03,A,Notes on Golden Mean Addendum,1997,https://www.meru.org/goldenrules/gmaddend.html,Discussion of limited/bent FIRST HAND sculpture,"RQ5,RQ7,RQ8",DESCRIPTIVE_ONLY,no complete 3-D construction,describes truncation/bending conceptually,yes,not a deterministic construction,"Distinguishes the limited, bent sculpture from an unmodified mathematical spiral and emphasizes that cutting/bending changes the mathematical object.",Search for a source that quantifies the bending operation.,inspected,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,
TA04,A,The First Distinction and the Most Asymmetric Spiral,1997/1999,https://www.meru.org/3220lecture/asymspir.html,Most-asymmetric / reciprocal spiral discussion,"RQ1,RQ5",PARTIAL_UNDERDETERMINED_CONSTRUCTION,reciprocal / hyperbolic spiral law is identified,planar spiral choice only; complete 3-D mapping not fixed,yes,illustrative,"Identifies the reciprocal/hyperbolic spiral as the intended non-self-similar asymmetric spiral, but does not uniquely determine the 3-D FIRST HAND carrier/mapping.",Seek explicit projection/deformation from planar reciprocal spiral to 3-D FIRST HAND.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
TA05,A,The Arm of God,1995/2006 release,https://www.meru.org/NewReleases/ARMOFGODRef21sep0CPC.2005A.pdf,"Complete 16-page inspection; especially printed pp.5-14: reciprocal law, flat-to-sphere projection, 1.5-turn trim, three 120-degree projections, 49/99 tetrahedra, sphere-pack and First Hand illustrations","RQ1,RQ3,RQ5,RQ6,RQ7",PARTIAL_UNDERDETERMINED_CONSTRUCTION,yes: r*theta=1; no complete 3-D self-embedding equation,yes for reciprocal/spherical scaffold; no deterministic final shaping step,yes for final 3-D shaping / carrier deformation,mixed,"The document promises a simple, meaningful, well-defined construction and then specifies r*theta=1, projection onto a cube-octahedral sphere, a finite inner endpoint exactly 1.5 turns (3*pi) from the outer end, and three copies spaced 120 degrees. Later pages add the 49/99 tetrahedral and sphere-pack scaffold. Across the complete 16-page document, no textual derivation or instruction for endpoint parallelism, self-embedment, or bending is given. The promised well-defined construction therefore reaches the reciprocal/spherical scaffold but not a uniquely defined finished endpoint-parallel FIRST HAND deformation.",Treat Arm of God construction inspection as complete. Follow its explicit pointer to The Dirac String Trick - First Hand and continue search for the missing algebraic/geometric shaping rule in other registered Tier-A sources.,inspected-complete,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,49_99_ONE_SIXTH_RELATION_UNRESOLVED
TA06,A,The Shape of Information: How to Talk to an Extra-Terrestrial,2002,https://www.meru.org/Noetic/ShapeofInfoA3HiTOC.pdf,pp.177-178 and p.181 in journal pagination,"RQ3,RQ5,RQ6,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no unique FIRST HAND parametric equation,"topological/discrete descriptors, not complete metric construction",yes,illustrative / photographic / computer-rendered,Explicitly states that toroidal topology does not come with any particular geometric shape; the chosen geometry is motivated via an idealized apple/dancer. Uses a 3-turn full toroidal structure and a specially shaped 1.5-turn FIRST HAND/half-orbit geometry in the later convention.,Determine whether these 1D/2D/3D descriptors uniquely determine a curve in any linked source.,inspected,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,TOPOLOGY_METRIC_UNDERDETERMINATION_EXPLICIT
TA07,A,Scientific Abstract of the Meru,1996,https://www.meru.org/abstract.html,lines describing half-lobe torus path and 1.5-turn hand path,"RQ5,RQ6",DESCRIPTIVE_ONLY,no,qualitative path description,yes,illustrative,Describes a spiral path from central seed region to outer fruit and a 1.5-turn hand path from thumb-tip through palm to fingertip. No metric mapping is supplied.,"Compare with Dirac-string and 3,10 construction sources.",inspected,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,
TA08,A,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",1992/1996,https://www.meru.org/Posters/trsknotrngsphere.html,poster explanatory bullets and construction graphic,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,"standard 3,10 torus-knot identity implied; no explicit dimple deformation equation",discrete scaffold and ring-to-dimple transformation diagram,yes,construction-like but transformation is not metrically parameterized,"Shows transformation of a standard 3,10 ring knot onto a dimpled-sphere torus; states that the dimpled-sphere knot defines six hand-shaped regions wound around a 99-tetrahedra central column, while each hand is defined by a 49-tetrahedra central column. The source does not in the inspected text specify whether these six hand regions are disjoint partitions of the 99-tetrahedra column, overlapping regions, or a different decomposition.",Recover exact rule for ring-to-dimple transformation and exact extraction of one FIRST HAND segment.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,SIX_REGIONS_49_99_RELATION_UNRESOLVED
TA09,A,VRMLs: Virtual Reality Simulations,2000,https://www.meru.org/compuimages/animations.html,VRML inventory,"RQ3,RQ5",ARCHIVAL_PROVENANCE_ONLY,no,no,n/a,rendered models,"Lists 3_1-1_3B.wrl and 10_3.wrl only; 10_3 is identified as the 3,10 torus knot, not a standalone dimpled-sphere carrier.","Use model geometry as provenance/diagnostic only, not as a unique carrier specification.",inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
TA10,A-direct,Squaring the Circle with Straight Edge and Compass,1997/1999 materials,https://www.meru.org/3220lecture/stpresrl.html,construction paragraph and linked quadil01.gif graphic,"RQ3,RQ5,RQ7,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no,"yes, operational but non-deterministic",yes,"construction schematic, not metrically complete","Source page says a circular ring and tangent line are turned into the model hand. Its linked construction graphic instructs the maker to cut the ring, curl it into a 3-D vortex, and bend the tangent line so it parallels the vortex end. This proves that endpoint parallelism is an imposed target in this craft route, but does not show that every algebraic/generated FIRST HAND route uses the same manual adjustment.",Inspect related 1999 lecture/video and seek dimensional/angle constraints for the curl and bend.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
