panel_id,asset_id,title,priority,research_role,source_sha256,x0,y0,x1,y1,width_px,height_px,sha256,local_path
A10_P01,A10,Ring-to-dimpled-sphere transition strip,1,Primary source-derived transformation sequence from ring to dimpled sphere,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,10,50,460,205,450,155,0c6b02390f19724a4fb7dbdfec5af65a6bf174faf327e6e7e1e4a684c2a9e274,data/derived/source_inspection/panels/A10_P01.png
A10_P02,A10,Apparent zero-winding flip diagram,2,Clarifies the source's stated apparent loss or reversal of winding zero,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,400,170,575,335,175,165,cfa9a47ed6a402b11cbc2ce71699980134c2937a30444fdadc4b89b55e25ccc9,data/derived/source_inspection/panels/A10_P02.png
A10_P03,A10,"Complete 3,10 knot on dimpled sphere",1,Primary target for tracing the colour-coded dimpled-sphere knot,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,385,355,575,520,190,165,ab739005438987336e83760aafbff9a21aff7bf49e17bdf7f4d60a29dee2f473,data/derived/source_inspection/panels/A10_P03.png
A10_P04,A10,Six-left-hands dimpled-sphere diagram,3,Later hand-region interpretation of the dimpled-sphere knot,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,385,525,575,690,190,165,db788a216121dbeab13de36ca7c56a27819fd93807e22545eb6440ae59f3da55,data/derived/source_inspection/panels/A10_P04.png
A10_P05,A10,"3,10 winding pattern",2,Discrete 3 by 3 winding-number scaffold,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,10,185,115,285,105,100,c68fe13faf7035060aaced247ce29f9dbbad0c8e6bf9ae5d4f615c8f4dc9fced,data/derived/source_inspection/panels/A10_P05.png
A04_P01,A04,Seven-region toroidal map,2,Toroidal ribbon topology and visible A-B-C-D identifications,e213c57889ce3455daa6a358ff4c5fb59cb0f4fdba5a8475499407348f22ed4a,20,105,355,310,335,205,b3427e3c5f1cb3fe46f9cfa11369c4f68192e6b720b08a18d7cd3c608f36c0b4,data/derived/source_inspection/panels/A04_P01.png
A04_P02,A04,Flattened numbered ribbon,2,"Numbered ribbon regions, boundaries, and edge identifications",e213c57889ce3455daa6a358ff4c5fb59cb0f4fdba5a8475499407348f22ed4a,20,300,385,675,365,375,49096351ad80940b32e1ec34161ac7ba72cd553ff27b7bab5566c63dd36a3c4b,data/derived/source_inspection/panels/A04_P02.png
A04_P03,A04,Three-turn ribbon schematic,3,Compact schematic of the ribbon path,e213c57889ce3455daa6a358ff4c5fb59cb0f4fdba5a8475499407348f22ed4a,330,95,485,235,155,140,34dde47c0e197ae815fa49c8dfb11e6a5d83feb43f446ca04d20ab748278471b,data/derived/source_inspection/panels/A04_P03.png
A04_P04,A04,Numbered torus schematic,2,Number placement around the toroidal form,e213c57889ce3455daa6a358ff4c5fb59cb0f4fdba5a8475499407348f22ed4a,385,235,630,390,245,155,c48ced25607b888d8d5b8840982947e51691c5b365ba1dad2b539000203b28c9,data/derived/source_inspection/panels/A04_P04.png
A05_P01,A05,Meeting-tent tetrahedron and flame,3,Historical placement of the flame inside the tetrahedral meeting tent,bdfca7be865c32178682a53370fe76302c669700fa24fc0a0026bfa5bfb741f7,10,0,535,305,525,305,5e960859a9427fa33ad31ec225ae7104d5995fe5db0ec7deed071a2567612f58,data/derived/source_inspection/panels/A05_P01.png
A05_P02,A05,Three Cartesian tetrahedral axes,3,Historical depiction of the three opposite-edge axes,bdfca7be865c32178682a53370fe76302c669700fa24fc0a0026bfa5bfb741f7,10,285,535,600,525,315,0404348c8800c581d6d6cdcf387549a3c6fb88f6ce1548690d5a800c79d8492d,data/derived/source_inspection/panels/A05_P02.png
A05_P03,A05,Four vertex-face tetrahedral axes,3,Historical depiction of the four vertex-to-opposite-face axes,bdfca7be865c32178682a53370fe76302c669700fa24fc0a0026bfa5bfb741f7,10,570,535,860,525,290,3d28942e2b992d61b5aec6c2b4c936b4bf5dbe5c9fc7ebb6c9094b1025793d91,data/derived/source_inspection/panels/A05_P03.png
A03_P01,A03,Early flame and torus-donut comparison,4,Early composite depiction of the flame and tetrahedral vessel,17acf7e0d9aab22f465b2b4bf5bbd7e630278531683b96c92c4720c2debd21e4,10,0,565,500,555,500,f10e4a84271523268bc74b687a184aa777eb6833c61d999f3da5e28c14e5197b,data/derived/source_inspection/panels/A03_P01.png
