panel_id,asset_id,title,x0,y0,x1,y1,priority,research_role
A10_P01,A10,"Ring-to-dimpled-sphere transition strip",10,50,460,205,1,"Primary source-derived transformation sequence from ring to dimpled sphere"
A10_P02,A10,"Apparent zero-winding flip diagram",400,170,575,335,2,"Clarifies the source's stated apparent loss or reversal of winding zero"
A10_P03,A10,"Complete 3,10 knot on dimpled sphere",385,355,575,520,1,"Primary target for tracing the colour-coded dimpled-sphere knot"
A10_P04,A10,"Six-left-hands dimpled-sphere diagram",385,525,575,690,3,"Later hand-region interpretation of the dimpled-sphere knot"
A10_P05,A10,"3,10 winding pattern",10,185,115,285,2,"Discrete 3 by 3 winding-number scaffold"
A04_P01,A04,"Seven-region toroidal map",20,105,355,310,2,"Toroidal ribbon topology and visible A-B-C-D identifications"
A04_P02,A04,"Flattened numbered ribbon",20,300,385,675,2,"Numbered ribbon regions, boundaries, and edge identifications"
A04_P03,A04,"Three-turn ribbon schematic",330,95,485,235,3,"Compact schematic of the ribbon path"
A04_P04,A04,"Numbered torus schematic",385,235,630,390,2,"Number placement around the toroidal form"
A05_P01,A05,"Meeting-tent tetrahedron and flame",10,0,535,305,3,"Historical placement of the flame inside the tetrahedral meeting tent"
A05_P02,A05,"Three Cartesian tetrahedral axes",10,285,535,600,3,"Historical depiction of the three opposite-edge axes"
A05_P03,A05,"Four vertex-face tetrahedral axes",10,570,535,860,3,"Historical depiction of the four vertex-to-opposite-face axes"
A03_P01,A03,"Early flame and torus-donut comparison",10,0,565,500,4,"Early composite depiction of the flame and tetrahedral vessel"
